round,score,avg_score_200,reward,avg_reward_200,coins,kills,suicides,crates_destroyed,alive_fraction
597,0,2.0,95.5,313.3,0,0,0,17,0
598,1,1.99,206.3,311.6,1,0,0,20,0
599,2,1.98,624.3,312.13,2,0,0,25,1
600,2,1.99,387.4,314.1,2,0,1,25,0
601,1,1.99,170.5,313.9,1,0,1,27,0
602,5,2.01,643.0,315.04,5,0,0,41,1
603,1,2.0,583.7,316.56,1,0,0,27,1
604,1,2.0,192.9,315.85,1,0,0,19,0
605,12,2.06,644.5,316.57,2,2,0,30,1
606,0,2.06,134.2,317.1,0,0,0,19,0
607,0,2.06,133.1,317.31,0,0,1,25,0
608,3,2.06,466.3,316.07,3,0,0,27,0
609,1,2.02,152.8,314.06,1,0,1,20,0
610,4,2.04,674.4,316.81,4,0,0,40,0
611,3,2.05,646.9,317.65,3,0,0,27,1
612,1,2.05,452.8,319.37,1,0,0,40,0
613,1,2.04,484.9,320.14,1,0,0,34,0
614,7,2.07,353.9,320.33,2,1,0,27,0
615,1,2.07,78.5,318.17,1,0,1,19,0
616,1,2.07,99.3,318.19,1,0,0,18,0
617,6,2.1,436.1,319.79,1,1,0,21,0
618,1,2.1,59.1,317.37,1,0,1,18,0
619,1,2.1,150.1,317.29,1,0,0,18,0
620,3,2.1,261.4,315.99,3,0,0,17,0
621,2,2.1,395.7,316.77,2,0,0,24,0
622,2,2.1,217.2,317.27,2,0,1,43,0
623,0,2.1,207.0,317.72,0,0,0,25,0
624,0,2.06,520.4,319.28,0,0,0,31,1
625,5,2.04,621.8,318.81,0,1,0,40,1
626,2,2.04,534.4,320.72,2,0,0,37,0
627,2,2.04,163.9,320.31,2,0,0,17,0
628,0,2.04,-23.8,318.95,0,0,1,12,0
629,2,2.04,337.6,319.36,2,0,0,28,0
630,9,2.06,650.0,319.66,4,1,0,30,1
631,0,2.05,225.7,319.76,0,0,1,26,0
632,1,2.03,504.0,320.13,1,0,0,35,1
633,3,2.04,863.2,323.75,3,0,0,47,1
634,8,2.08,728.5,326.76,3,1,0,51,0
635,1,2.06,98.4,325.09,1,0,1,22,0
636,1,2.06,468.2,324.45,1,0,0,28,1
637,3,2.06,154.0,324.15,3,0,1,18,0
638,5,2.08,695.5,325.39,0,1,0,38,0
639,2,2.09,747.2,328.8,2,0,0,37,1
640,1,2.09,124.5,326.77,1,0,0,17,0
641,1,2.09,521.0,328.02,1,0,0,30,1
642,0,2.08,60.2,327.52,0,0,1,19,0
643,1,2.08,344.1,327.79,1,0,0,25,0
644,1,2.08,256.0,328.28,1,0,0,28,0
645,2,2.08,420.4,328.79,2,0,1,24,0
646,0,2.06,148.4,326.99,0,0,1,33,0
647,2,2.06,418.4,327.17,2,0,0,31,0
648,1,2.06,181.3,326.56,1,0,0,22,0
649,1,2.06,-33.5,324.69,1,0,1,8,0
650,5,2.06,602.5,326.55,5,0,1,36,0
651,0,2.02,534.9,326.5,0,0,0,22,1
652,1,2.02,55.9,324.32,1,0,1,20,0
653,0,1.98,426.9,323.46,0,0,0,26,0
654,5,2.0,333.5,324.9,0,1,0,17,0
655,5,2.02,565.0,325.7,0,1,0,33,1
